"type","flavor","state","index type","index","year"
"traditional","expanded-data","Alaska","index_nsa",1042.01,2018
"traditional","expanded-data","Alaska","index_sa",1041.61,2018
"traditional","expanded-data","Alaska","index_nsa",1077.29,2019
"traditional","expanded-data","Alaska","index_sa",1076.76,2019
"traditional","expanded-data","Alaska","index_nsa",1128.14,2020
"traditional","expanded-data","Alaska","index_sa",1127.69,2020
"traditional","expanded-data","Alaska","index_nsa",1250.68,2021
"traditional","expanded-data","Alaska","index_sa",1250.2,2021
"traditional","expanded-data","Alaska","index_nsa",675.4,2022
"traditional","expanded-data","Alaska","index_sa",673.32,2022
"traditional","purchase-only","Alaska","index_nsa",0,1975
"traditional","purchase-only","Alaska","index_sa",0,1975
"traditional","purchase-only","Alaska","index_nsa",0,1976
"traditional","purchase-only","Alaska","index_sa",0,1976
"traditional","purchase-only","Alaska","index_nsa",0,1977
"traditional","purchase-only","Alaska","index_sa",0,1977
"traditional","purchase-only","Alaska","index_nsa",0,1978
"traditional","purchase-only","Alaska","index_sa",0,1978
"traditional","purchase-only","Alaska","index_nsa",0,1979
"traditional","purchase-only","Alaska","index_sa",0,1979
"traditional","purchase-only","Alaska","index_nsa",0,1980
"traditional","purchase-only","Alaska","index_sa",0,1980
"traditional","purchase-only","Alaska","index_nsa",0,1981
"traditional","purchase-only","Alaska","index_sa",0,1981
"traditional","purchase-only","Alaska","index_nsa",0,1982
"traditional","purchase-only","Alaska","index_sa",0,1982
"traditional","purchase-only","Alaska","index_nsa",0,1983
"traditional","purchase-only","Alaska","index_sa",0,1983
"traditional","purchase-only","Alaska","index_nsa",0,1984
"traditional","purchase-only","Alaska","index_sa",0,1984
"traditional","purchase-only","Alaska","index_nsa",0,1985
"traditional","purchase-only","Alaska","index_sa",0,1985
"traditional","purchase-only","Alaska","index_nsa",0,1986
"traditional","purchase-only","Alaska","index_sa",0,1986
"traditional","purchase-only","Alaska","index_nsa",0,1987
"traditional","purchase-only","Alaska","index_sa",0,1987
"traditional","purchase-only","Alaska","index_nsa",0,1988
"traditional","purchase-only","Alaska","index_sa",0,1988
"traditional","purchase-only","Alaska","index_nsa",0,1989
"traditional","purchase-only","Alaska","index_sa",0,1989
"traditional","purchase-only","Alaska","index_nsa",0,1990
"traditional","purchase-only","Alaska","index_sa",0,1990
"traditional","purchase-only","Alaska","index_nsa",405.7,1991
"traditional","purchase-only","Alaska","index_sa",403.99,1991
"traditional","purchase-only","Alaska","index_nsa",416.92,1992
"traditional","purchase-only","Alaska","index_sa",415.2,1992
"traditional","purchase-only","Alaska","index_nsa",431.07,1993
"traditional","purchase-only","Alaska","index_sa",429.31,1993
"traditional","purchase-only","Alaska","index_nsa",447.64,1994
"traditional","purchase-only","Alaska","index_sa",445.77,1994
"traditional","purchase-only","Alaska","index_nsa",466.42,1995
"traditional","purchase-only","Alaska","index_sa",464.45,1995
"traditional","purchase-only","Alaska","index_nsa",485.75,1996
"traditional","purchase-only","Alaska","index_sa",483.63,1996
"traditional","purchase-only","Alaska","index_nsa",499.02,1997
"traditional","purchase-only","Alaska","index_sa",496.82,1997
"traditional","purchase-only","Alaska","index_nsa",516.99,1998
"traditional","purchase-only","Alaska","index_sa",514.7,1998
"traditional","purchase-only","Alaska","index_nsa",532.79,1999
"traditional","purchase-only","Alaska","index_sa",530.45,1999
"traditional","purchase-only","Alaska","index_nsa",544.96,2000
